ProductId	AisleNumber	Brand	Description	Size	PriceRegular	PriceSale
1001	7	Foster Farms	Boneless Skinless Chicken Thighs	1 lb	4.49	3.99
1002	7	Foster Farms	Boneless Skinless Chicken Breast	1 lb	5.99	
1003	8	Kroger	Atlantic Salmon Fillet	1 lb	12.99	10.99
1004	9	Simple Truth	Extra Firm Tofu	14 oz	2.99	2.49
1005	10	Kroger	Jasmine Rice	2 lb	3.49	2.99
1006	11	Kroger	Broccoli Crowns	1 ct	2.49	1.99
1007	11	Kroger	Sweet Potato	1 lb	1.49	1.19
1008	11	Kroger	Bell Peppers	3 ct	4.99	3.99
1009	11	Kroger	Yellow Onion	3 lb	2.99	
1010	11	Kroger	Garlic	3 ct	1.49	
1011	12	Kroger	Baby Spinach	5 oz	2.99	2.50
1012	13	Kroger	Raw Shrimp	1 lb	8.99	6.99
1013	13	Kroger	Sea Scallops	1 lb	14.99	
1014	12	Kroger	Chickpeas	15 oz	1.29	1.00
1015	10	Kroger	Penne Pasta	16 oz	1.99	1.49
